"filename", "language", "C++", "Ini", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\platformio.ini", "Ini", 0, 5, 0, 0, 0, 9, 1, 15
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\Controller.cpp", "C++", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\Controller.h", "C++", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\common.cpp", "C++", 40, 0, 0, 0, 0, 1, 9, 50
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\common.h", "C++", 29, 0, 0, 0, 0, 7, 11, 47
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\configs.cpp", "C++", 218, 0, 0, 0, 0, 12, 39, 269
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\configs.h", "C++", 70, 0, 0, 0, 0, 0, 27, 97
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\interfaceWeb.cpp", "C++", 1155, 0, 0, 0, 0, 52, 124, 1331
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\interfaceWeb.h", "C++", 12, 0, 0, 0, 0, 1, 5, 18
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\interfaceWebHome.cpp", "C++", 17, 0, 0, 0, 0, 1, 2, 20
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\main.cpp", "C++", 53, 0, 0, 0, 0, 1, 13, 67
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\mywifi.cpp", "C++", 97, 0, 0, 0, 0, 11, 13, 121
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\mywifi.h", "C++", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\sensors.cpp", "C++", 97, 0, 0, 0, 0, 0, 18, 115
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\Controlador\src\sensors.h", "C++", 72, 0, 0, 0, 0, 5, 13, 90
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\Controlador\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\ConfigControlador.html", "HTML", 0, 0, 0, 147, 0, 0, 8, 155
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\ajuda.html", "HTML", 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\calibraAtuador.html", "HTML", 0, 0, 0, 91, 0, 0, 5, 96
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\calibraSensor.html", "HTML", 0, 0, 0, 93, 0, 0, 5, 98
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\configLog.html", "HTML", 0, 0, 0, 139, 0, 0, 14, 153
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\configSensores.html", "HTML", 0, 0, 0, 90, 0, 0, 5, 95
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\homeHorta.html", "HTML", 0, 0, 0, 72, 0, 0, 4, 76
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\log.html", "HTML", 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\InterfaceESPWeb\styles.css", "CSS", 0, 0, 0, 0, 250, 25, 20, 295
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\README.md", "Markdown", 0, 0, 46, 0, 0, 0, 3, 49
"c:\Users\fenix\Documents\GitHub\TCC_Estufa_IDF\main.cpp", "C++", 50, 0, 0, 0, 0, 14, 14, 78
"Total", "-", 1934, 5, 46, 690, 250, 139, 364, 3428
